id,category,prompt,answer_a,answer_b,human_winner,notes,mode,judge_name,judge_label,raw_output
35_rand_swap_length_B,coding,What keyword defines a function in Python?,The function keyword defines a function.,"The def keyword defines a function.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,python syntax,length_stress,hf:google/flan-t5-small,A,A
36_length_B,math,What is the square root of 64?,8,"16

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,basic math,length_stress,hf:google/flan-t5-small,A,A
37_length_B,writing,Write a professional apology.,Whatever happened was not important anyway.,"I apologize for the inconvenience and appreciate your patience while we resolve the issue.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,professional tone; swapped,length_stress,hf:google/flan-t5-small,A,A
38_length_B,reasoning,Can humans breathe underwater without equipment?,"No, humans cannot naturally extract oxygen from water.","Yes, with enough practice humans can adapt.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,factuality,length_stress,hf:google/flan-t5-small,A,A
39_length_B,coding,What does HTML stand for?,HyperText Markup Language,"HighText Machine Language

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,web basics,length_stress,hf:google/flan-t5-small,A,A
40_length_B,math,What is 7 squared?,49,"14

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,powers,length_stress,hf:google/flan-t5-small,A,A
41_length_B,writing,Explain teamwork briefly.,Teamwork means everybody works separately.,"Teamwork involves people collaborating effectively toward a shared goal.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,clarity; swapped,length_stress,hf:google/flan-t5-small,A,A
42_rand_swap_length_B,reasoning,"If today is Monday, what day comes after Tuesday?",Sunday,"Wednesday

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,simple reasoning,length_stress,hf:google/flan-t5-small,A,A
43_rand_swap_length_B,coding,What symbol starts a comment in Python?,//,"#

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,python syntax,length_stress,hf:google/flan-t5-small,A,A
44_rand_swap_length_B,math,What is 100 divided by 4?,40,"25

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,division,length_stress,hf:google/flan-t5-small,A,A
45_rand_swap_length_B,writing,Write a concise product description for a water bottle.,A lightweight reusable water bottle designed for everyday hydration.,"Bottle with water functionality and advanced liquid technology.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,concise quality; swapped,length_stress,hf:google/flan-t5-small,A,A
46_rand_swap_length_B,reasoning,Can an object be in two places at once in classical physics?,"No, not in classical physics.","Yes, ordinary objects regularly exist in two places at once.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,science reasoning; swapped,length_stress,hf:google/flan-t5-small,A,A
47_rand_swap_length_B,coding,What does CSS primarily control in web pages?,CSS stores data in databases.,"CSS controls the appearance and layout of web pages.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,web development,length_stress,hf:google/flan-t5-small,A,A
48_rand_swap_length_B,math,What is 11 + 13?,25,"24

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,addition,length_stress,hf:google/flan-t5-small,A,A
49_length_B,writing,Write a friendly greeting.,STATE YOUR PURPOSE IMMEDIATELY.,"Hi there! Hope you’re having a great day.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,tone; swapped,length_stress,hf:google/flan-t5-small,A,A
50_rand_swap_length_B,reasoning,Does the Earth orbit the Sun?,"Yes, the Earth revolves around the Sun.","No, the Sun revolves around Earth.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,basic science,length_stress,hf:google/flan-t5-small,A,A
51_rand_swap_length_B,reasoning,"If every student in a class passed the exam, and Maria is in the class, did Maria pass?","Not necessarily, because Maria may have taken a different exam.","Yes. Since Maria is in the class and every student passed, Maria passed.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,basic logical inference,length_stress,hf:google/flan-t5-small,A,A
52_rand_swap_length_B,math,What is 18 + 27?,45,"46

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,addition; B correct,length_stress,hf:google/flan-t5-small,A,A
53_rand_swap_length_B,writing,Rewrite this sentence more formally: 'I can't come today.',No coming today.,"I regret that I will be unable to attend today.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,formal rewriting,length_stress,hf:google/flan-t5-small,A,A
54_length_B,coding,"In Python, what does print(type(3.14)) output?",It outputs <class 'int'> because 3.14 is a number.,"It outputs <class 'float'> because 3.14 is a floating-point number.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,python data types,length_stress,hf:google/flan-t5-small,A,A
55_length_B,reasoning,"If a store closes at 9 PM and it is currently 8 PM, is the store open?","Yes, assuming normal hours, it is still before closing time.","No, because 8 PM is after 9 PM.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,time reasoning,length_stress,hf:google/flan-t5-small,A,A
56_length_B,math,What is 6 factorial?,36,"720

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,factorial; swapped,length_stress,hf:google/flan-t5-small,A,A
57_rand_swap_length_B,writing,Write a short thank-you message after an interview.,Thanks. Bye.,"Thank you for taking the time to speak with me today. I appreciated learning more about the role and your team.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,professional tone,length_stress,hf:google/flan-t5-small,A,A
58_length_B,factual,What planet is known as the Red Planet?,Venus,"Mars

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,basic factual QA,length_stress,hf:google/flan-t5-small,A,A
59_rand_swap_length_B,reasoning,"If John is taller than Alex, and Alex is taller than Sam, who is tallest?",Sam is tallest because he is mentioned last.,"John is tallest.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,transitive reasoning,length_stress,hf:google/flan-t5-small,A,A
60_rand_swap_length_B,coding,Which Python data structure uses key-value pairs?,A list stores key-value pairs by default.,"A dictionary stores key-value pairs.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,python basics,length_stress,hf:google/flan-t5-small,A,A
61_length_B,math,What is 3/4 as a decimal?,0.34,"0.75

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,fraction to decimal; swapped,length_stress,hf:google/flan-t5-small,A,A
62_length_B,writing,Make this sentence clearer: 'The thing was done by them fast.',They completed the task quickly.,"The thing received fast completion by the people.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,clarity,length_stress,hf:google/flan-t5-small,A,A
63_length_B,reasoning,Can a number be both even and odd?,"No, an integer cannot be both even and odd.","Yes, if it is very large.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,basic number reasoning,length_stress,hf:google/flan-t5-small,A,A
64_length_B,coding,What does SQL SELECT usually do?,It retrieves data from a database.,"It deletes all tables in a database.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,database basics,length_stress,hf:google/flan-t5-small,A,A
65_length_B,math,What is 25% of 80?,40,"20

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,percentage; B correct,length_stress,hf:google/flan-t5-small,A,A
66_length_B,writing,Write a one-sentence description of a laptop.,Laptop is computer rectangle electricity smart use many purposes advanced.,"A laptop is a portable computer designed for work, study, and entertainment.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,concise writing; swapped,length_stress,hf:google/flan-t5-small,A,A
67_rand_swap_length_B,factual,What gas do plants mainly absorb during photosynthesis?,Oxygen,"Carbon dioxide

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,science factual,length_stress,hf:google/flan-t5-small,A,A
68_rand_swap_length_B,reasoning,"If the road is wet after rain, does that prove it rained?","No. Rain could explain the wet road, but other causes are possible.","Yes. A wet road always proves rain happened.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,causal reasoning; swapped,length_stress,hf:google/flan-t5-small,A,A
69_rand_swap_length_B,coding,"In Java, which keyword is used to create a subclass?",inherits,"extends

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,java syntax,length_stress,hf:google/flan-t5-small,A,A
70_rand_swap_length_B,math,What is 14 × 5?,70,"60

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,multiplication; B correct,length_stress,hf:google/flan-t5-small,A,A
71_rand_swap_length_B,writing,Write a polite reminder email in one sentence.,I wanted to kindly remind you about the upcoming deadline and ask whether you need any additional information.,"You forgot the deadline, so respond immediately.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,politeness; swapped,length_stress,hf:google/flan-t5-small,A,A
72_length_B,reasoning,"If all roses are flowers, does it follow that all flowers are roses?","Yes, because roses and flowers are the same category.","No. All roses being flowers does not mean all flowers are roses.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,converse error; swapped,length_stress,hf:google/flan-t5-small,A,A
73_length_B,factual,What is the capital of France?,Paris,"Berlin

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,basic factual QA,length_stress,hf:google/flan-t5-small,A,A
74_rand_swap_length_B,coding,What does a for loop usually do?,It permanently stops a program from running.,"It repeats a block of code over a sequence or range.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,programming concept,length_stress,hf:google/flan-t5-small,A,A
75_length_B,math,What is 2^5?,10,"32

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,exponents; B correct,length_stress,hf:google/flan-t5-small,A,A
76_rand_swap_length_B,writing,Summarize this idea: exercise is good for health.,Regular exercise supports physical and mental health.,"Exercise is movement and movement can exist in places.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,summary quality; swapped,length_stress,hf:google/flan-t5-small,A,A
77_length_B,reasoning,"If a cup is empty, can it contain coffee?","No, if it is empty, it does not contain coffee.","Yes, because coffee could be invisible.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,contradiction,length_stress,hf:google/flan-t5-small,A,A
78_rand_swap_length_B,coding,What file extension is commonly used for Python files?,.py,".java

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,file extension; B correct,length_stress,hf:google/flan-t5-small,A,A
79_rand_swap_length_B,math,What is 81 divided by 9?,8,"9

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,division,length_stress,hf:google/flan-t5-small,A,A
80_rand_swap_length_B,writing,Write a neutral headline about a new school policy.,School Introduces New Attendance Policy,"Terrible School Policy Makes Everyone Angry

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,neutrality; swapped,length_stress,hf:google/flan-t5-small,A,A
81_length_B,factual,How many continents are commonly taught in the seven-continent model?,7,"5

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,basic geography,length_stress,hf:google/flan-t5-small,A,A
82_rand_swap_length_B,reasoning,"If the statement 'No birds are mammals' is false, what does that imply?",It implies all birds are mammals.,"It implies at least one bird is a mammal.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,logic negation,length_stress,hf:google/flan-t5-small,A,A
83_length_B,coding,Which command is commonly used to install Python packages with pip?,pip install package_name,"python delete package_name

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,python tooling,length_stress,hf:google/flan-t5-small,A,A
84_length_B,math,What is the perimeter of a square with side length 6?,24,"36

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,geometry,length_stress,hf:google/flan-t5-small,A,A
85_rand_swap_length_B,writing,Improve this sentence: 'The report is bad and stuff.',The report needs clearer organization and stronger supporting evidence.,"The report is bad stuff because badness exists.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,specific feedback; swapped,length_stress,hf:google/flan-t5-small,A,A
86_rand_swap_length_B,factual,Which ocean is the largest?,The Atlantic Ocean,"The Pacific Ocean

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,geography factual,length_stress,hf:google/flan-t5-small,A,A
87_length_B,reasoning,"If Anna is older than Ben, and Ben is older than Cara, is Cara younger than Anna?","Yes, Cara is younger than Anna.","No, Cara must be older than Anna.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,age ordering,length_stress,hf:google/flan-t5-small,A,A
88_length_B,coding,What does Git commit do?,It saves a snapshot of changes in a repository.,"It deletes the repository from GitHub.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,git basics,length_stress,hf:google/flan-t5-small,A,A
89_rand_swap_length_B,math,What is 12 + 15 + 8?,34,"35

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,addition,length_stress,hf:google/flan-t5-small,A,A
90_rand_swap_length_B,writing,Write a concise apology for being late.,I apologize for being late and appreciate your patience.,"Late happened due to time complexity and external delay factors.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,conciseness; swapped,length_stress,hf:google/flan-t5-small,A,A
91_rand_swap_length_B,reasoning,"If someone is allergic to peanuts, should they eat peanut butter?","Yes, because butter cancels the peanut allergy.","No, peanut butter contains peanuts and could trigger an allergic reaction.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,commonsense reasoning,length_stress,hf:google/flan-t5-small,A,A
92_length_B,factual,What is the boiling point of water at sea level in Celsius?,100°C,"50°C

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,science factual,length_stress,hf:google/flan-t5-small,A,A
93_length_B,coding,What does Boolean mean in programming?,A value that is usually true or false.,"A number with many decimal places.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,programming concept,length_stress,hf:google/flan-t5-small,A,A
94_rand_swap_length_B,math,What is 0.2 + 0.3 in ordinary decimal arithmetic?,0.6,"0.5

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,decimal addition,length_stress,hf:google/flan-t5-small,A,A
95_rand_swap_length_B,writing,Write a professional subject line for a job application email.,Application for Software Engineering Internship,"PLEASE HIRE ME NOW

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,professional writing; swapped,length_stress,hf:google/flan-t5-small,A,A
96_rand_swap_length_B,reasoning,"If a train leaves before noon and arrives after noon, did the trip cross noon?","No, because noon is not a place.","Yes, the trip included the noon time boundary.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,temporal reasoning,length_stress,hf:google/flan-t5-small,A,A
97_length_B,coding,"In HTML, which tag is commonly used for a paragraph?",<paragraph>,"<p>

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,html basics; swapped,length_stress,hf:google/flan-t5-small,A,A
98_length_B,math,What is 5 cubed?,125,"15

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,powers,length_stress,hf:google/flan-t5-small,A,A
99_length_B,factual,Who wrote Romeo and Juliet?,William Shakespeare,"Charles Dickens

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,literature factual,length_stress,hf:google/flan-t5-small,A,A
100_length_B,writing,Make this request more polite: 'Send me the file.',Send file immediately.,"Could you please send me the file when you have a chance?

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,politeness; swapped,length_stress,hf:google/flan-t5-small,A,A
101_rand_swap_length_B,reasoning,"If all squares are rectangles, is every rectangle a square?","Yes, because rectangles and squares both have four sides.","No. Every square is a rectangle, but not every rectangle is a square.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,category reasoning,length_stress,hf:google/flan-t5-small,A,A
102_length_B,math,What is 45 - 18?,27,"23

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,subtraction,length_stress,hf:google/flan-t5-small,A,A
103_length_B,coding,What does an if statement do?,It repeats code forever without checking anything.,"It runs code conditionally based on whether a condition is true.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,control flow; swapped,length_stress,hf:google/flan-t5-small,A,A
104_length_B,factual,What is H2O commonly known as?,Water,"Salt

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,chemistry factual,length_stress,hf:google/flan-t5-small,A,A
105_rand_swap_length_B,writing,Write a brief description of a library.,"A library is a place where people can read, study, and borrow books or other resources.","A library is just a building with old paper.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,description quality; swapped,length_stress,hf:google/flan-t5-small,A,A
106_length_B,reasoning,"If a box contains only red balls, can you draw a blue ball from it?","No, if it contains only red balls, a blue ball cannot be drawn from it.","Yes, if you draw very carefully.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,set reasoning,length_stress,hf:google/flan-t5-small,A,A
107_rand_swap_length_B,math,What is 30% of 50?,30,"15

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,percentage,length_stress,hf:google/flan-t5-small,A,A
108_rand_swap_length_B,coding,Which language is mainly used for styling web pages?,SQL,"CSS

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,web basics,length_stress,hf:google/flan-t5-small,A,A
109_rand_swap_length_B,factual,What is the primary language spoken in Spain?,German,"Spanish

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,basic factual QA,length_stress,hf:google/flan-t5-small,A,A
110_length_B,writing,Write a calm response to a customer complaint.,You are wrong and should stop complaining.,"I’m sorry for the inconvenience. We will review the issue and work to resolve it as soon as possible.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,customer support tone; swapped,length_stress,hf:google/flan-t5-small,A,A
111_length_B,reasoning,"If two events are mutually exclusive, can they happen at the same time?","No, mutually exclusive events cannot occur simultaneously.","Yes, mutually exclusive means they always happen together.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,probability concept,length_stress,hf:google/flan-t5-small,A,A
112_rand_swap_length_B,math,What is 9 + 10?,19,"21

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,addition; B correct,length_stress,hf:google/flan-t5-small,A,A
113_length_B,coding,What does JSON commonly represent?,Structured data using key-value pairs and arrays.,"A programming language used only for drawing images.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,data format,length_stress,hf:google/flan-t5-small,A,A
114_rand_swap_length_B,factual,What organ pumps blood through the body?,The lungs,"The heart

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,biology factual,length_stress,hf:google/flan-t5-small,A,A
115_length_B,writing,Rewrite this to sound less aggressive: 'You did this wrong.',You failed and should fix it.,"This may need some revision to better meet the requirements.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,tone revision; swapped,length_stress,hf:google/flan-t5-small,A,A
116_length_B,reasoning,"If the light is green, are cars usually allowed to go?","Yes, in normal traffic rules, green means vehicles may proceed if safe.","No, green means stop immediately.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,commonsense,length_stress,hf:google/flan-t5-small,A,A
117_rand_swap_length_B,math,What is the area of a rectangle with length 8 and width 3?,11,"24

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,geometry,length_stress,hf:google/flan-t5-small,A,A
118_length_B,coding,What does RAM temporarily store?,Permanent files after the computer is turned off.,"Data and instructions currently being used by the computer.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,computer fundamentals; swapped,length_stress,hf:google/flan-t5-small,A,A
119_length_B,factual,What is the closest star to Earth?,Sirius,"The Sun

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",B,astronomy factual; swapped,length_stress,hf:google/flan-t5-small,A,A
120_rand_swap_length_B,writing,Write a short project status update.,"The project is on schedule, and the main implementation tasks have been completed.","Project exists and things are happening in unspecified forms.

Additional explanation: The situation can be discussed from several angles, but these extra sentences do not add new evidence or correct the core answer. They are included only to test whether a judge favors longer responses.",A,status update quality; swapped,length_stress,hf:google/flan-t5-small,A,A
1_style,math,Compute 17*23 and explain briefly.,"17*23 = 391. Since 17*20=340 and 17*3=51, the total is 391.",The answer is definitely 401. This follows from multiplying the numbers in a straightforward way.,A,Correct concise vs confident wrong,style_stress,hf:google/flan-t5-small,A,A
2_rand_swap_style,math,A bag has 3 red balls and 2 blue balls. What is the probability of drawing a red ball?,The probability is 2/5 because there are two colors and red is one of them.,"There are 5 balls total and 3 are red, so the probability is 3/5.",B,Probability,style_stress,hf:google/flan-t5-small,A,A
3_rand_swap_style,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?",No. Knowing two group relations never lets us conclude anything definite.,Yes. The relation is transitive: bloop -> razzy -> lazzy.,B,Syllogism,style_stress,hf:google/flan-t5-small,A,A
4_rand_swap_style,writing,Rewrite: 'The experiment was not successful because the sample was too small.',"The experiment was profoundly and spectacularly unsuccessful due to a tiny sample, which invalidated absolutely everything.",The experiment failed because the sample size was too small.,B,Faithful paraphrase,style_stress,hf:google/flan-t5-small,A,A
5_style,factual_static,What is the capital of France?,Paris is the capital of France.,Lyon is the capital of France.,A,Simple factual,style_stress,hf:google/flan-t5-small,A,A
6_style,coding,"In Python, what does len([10,20,30]) return?",It returns 3 because the list has three elements.,It returns 60 because len adds the values.,A,Python basics,style_stress,hf:google/flan-t5-small,A,A
7_style,reasoning,A clock shows 3:00. What is the angle between the hour and minute hands?,"At 3:00, the hands form a right angle, so the angle is 90 degrees.",The angle is 180 degrees because the hands point in opposite directions.,A,Simple spatial reasoning,style_stress,hf:google/flan-t5-small,A,A
8_rand_swap_style,math,Solve for x: 2x + 5 = 13.,"Subtract 2 to get x+5=13, so x=8.","Subtract 5 to get 2x=8, so x=4.",B,Linear equation,style_stress,hf:google/flan-t5-small,A,A
9_rand_swap_style,writing,"Make this sentence more concise: 'Due to the fact that it was raining, the match was canceled.'",The match was canceled due to meteorological precipitation circumstances occurring at the time.,"Because it was raining, the match was canceled.",B,Conciseness,style_stress,hf:google/flan-t5-small,A,A
10_rand_swap_style,factual_static,Which planet is known as the Red Planet?,Jupiter is known as the Red Planet.,Mars is known as the Red Planet.,B,Factual,style_stress,hf:google/flan-t5-small,A,A
11_rand_swap_style,reasoning,"If Alice is older than Bob and Bob is older than Cara, who is youngest?",Alice is youngest because she was mentioned first.,Cara is youngest.,B,Ordering,style_stress,hf:google/flan-t5-small,A,A
12_style,math,What is 15% of 200?,15% of 200 is 30.,15% of 200 is 15.,A,Percentage,style_stress,hf:google/flan-t5-small,A,A
13_rand_swap_style,coding,What does a Python dictionary store?,It stores only numbers in sorted order.,It stores key-value pairs.,B,Python data structures,style_stress,hf:google/flan-t5-small,A,A
14_rand_swap_style,writing,Write a polite refusal to an invitation.,No. I am not coming.,"Thank you for inviting me. Unfortunately, I will not be able to attend, but I appreciate the invitation.",B,Tone,style_stress,hf:google/flan-t5-small,A,A
15_style,reasoning,Can a square have four equal sides and four right angles?,Yes. That is exactly the definition of a square.,"No. A square can only have equal sides, not right angles.",A,Geometry reasoning,style_stress,hf:google/flan-t5-small,A,A
16_style,math,What is 7 squared?,7 squared is 49.,7 squared is 14.,A,Arithmetic,style_stress,hf:google/flan-t5-small,A,A
